tag,date,type,zhTitle,enTitle,zhDesc,enDesc
shigatse,2015-06-21 21:20:35,location,中国西藏日喀則,"Shigatse, Tibet, China",中国西藏日喀則,"Shigatse, Tibet, China"
sites,2016-11-19 14:26:41,theme,风景山水名胜古迹,Natural and historical sites,风景山水名胜古迹,Natural and historical sites
snow,2008-01-20 14:18:59,tag,雪,Snow,雪,Snow
south_point_mall,2007-05-13 14:08:42,tag,南点商场,South Point Mall,南点商场,South Point Mall
tashi_lhunpo_monastery,2015-06-21 20:19:20,tag,扎什伦布寺,Tashi Lhunpo Monastery,扎什伦布寺,Tashi Lhunpo Monastery
tibet_museum,2015-06-25 11:03:52,tag,西藏博物馆,Tibet Museum,西藏博物馆,Tibet Museum
tingri,2015-06-21 09:55:10,location,中国西藏定日县,"Tingri County, Tibet, China",中国西藏定日县,"Tingri County, Tibet, China"
tradruk_temple,2015-06-17 17:38:10,tag,昌珠寺,Tradruk Temple,昌珠寺,Tradruk Temple
travel,2016-03-05 09:33:04,tag,旅行,Travel,旅行,Travel
tsetang,2015-06-17 19:41:07,location,中国西藏泽当,"Tsetang, Tibet, China",中国西藏泽当,"Tsetang, Tibet, China"
unc,2008-11-09 15:24:35,tag,北卡罗来纳大学教堂山分校,University of North Carolina at Chapel Hill,北卡罗来纳大学教堂山分校,University of North Carolina at Chapel Hill
university_lake,2008-03-30 15:57:11,tag,大学湖,University Lake,大学湖,University Lake
washington_dc,2011-03-11 15:29:54,location,美国华盛顿特区,"Washington DC, U.S.",美国华盛顿特区,"Washington DC, U.S."
weekend,2017-01-08 16:14:00,theme,周末,Weekend,周末,Weekend
wilkesboro,2010-03-27 01:53:18,location,美国威尔克斯伯勒,"Wilkesboro, NC, U.S.",美国威尔克斯伯勒,"Wilkesboro, NC, U.S."
wilmington,2010-09-05 18:41:58,location,美国威明顿,"Wilmington, NC, U.S.",美国威明顿,"Wilmington, NC, U.S."
winston_salem,2009-10-26 05:14:15,location,美国温斯顿塞勒姆,"Winston-Salem, NC, U.S.",美国温斯顿塞勒姆,"Winston-Salem, NC, U.S."
xian,2015-05-31 17:00:31,location,中国陕西西安,"Xi’an, Shanxi, China",中国陕西西安,"Xi’an, Shanxi, China"
xining,2015-06-04 12:11:43,location,中国青海西宁,"Xining, Qinghai, China",中国青海西宁,"Xining, Qinghai, China"
xining_dongguan_mosque,2015-06-04 10:01:00,tag,西宁东关清真寺,Xining Dongguan Mosque,西宁东关清真寺,Xining Dongguan Mosque
yuanmingyuan,2016-11-12 16:51:26,tag,圆明园,Yuanmingyuan,北京圆明园,Yuanmingyuan Park in Beijing
yumbu_lhakhang_palace,2015-06-17 19:41:07,tag,雍布拉康,Yumbu Lhakhang Palace,雍布拉康,Yumbu Lhakhang Palace
zhenjue_temple,2016-11-20 07:32:50,tag,真觉寺,Zhenjue Temple,真觉寺,Zhenjue Temple
